district,pop_obs,pop_sim,diff,DISTRICT
1.0,2302296.0,2324195.8207143606,21899.82071436057,Cabo_Delgado
2.0,6230069.0,6256075.051515152,26006.051515151747,Gaza
3.0,2187542.0,2286938.461046581,99396.46104658116,Inhambane
4.0,1526236.0,1551906.8032440639,25670.803244063864,Manica
5.0,1549885.0,1599485.1349078363,49600.13490783633,Maputo
6.0,2385916.0,2476057.1760880076,90141.17608800763,Maputo_City
7.0,3479672.0,3488262.1461377162,8590.146137716249,Nampula
8.0,2249210.0,2282869.812072677,33659.81207267707,Niassa
9.0,3545537.0,3665089.150242113,119552.15024211304,Sofala
10.0,5845965.0,5846806.031944444,841.031944444403,Tete
sum,31302328.0,31777685.587912954,475357.58791295206,
